Resturant_Name,Cuisine,Location,Rating,Cost_for_Two,Recommended
Khichdi Experiment,Other,"Koramangala, Koramangala",4.80,200,N
Natural Ice Cream,Dessert,"Near Wipro Park Signal, Koramangala",4.60,150,N
Corner House Ice Cream, Dessert,"7th Block, Koramangala",4.60,250,N
Chinese Bae,Chinese,"BTM, BTM",4.50,450,N
Mumbai Tiffin,North Indian,"Sector 5, HSR",4.40,400,N
Al Daaz,Fast Food,"HSR, HSR",4.40,400,N
China Pearl,Chinese,"6th Block, Koramangala",4.40,527,N
Bowl 99,South Indian,"kormangala, Koramangala",4.40,200,N
Kanti Dessert,Dessert,Koramangala,4.30,150,N
Meghana Foods,South Indian,"5th Block, Koramangala",4.30,550,N
Momoz,Chinese,"5th Block, Koramangala",4.30,450,N
Just Bake - Cakes & confectioners,Dessert,"BTM 1st stage, BTM",4.30,300,N
New Udupi Grand, South Indian,"HSR, HSR",4.30,150,N
Oottupura, South Indian,"BTM, BTM",4.30,268,N
Taco Bell,Other,"6th Block, Koramangala",4.30,600,N
Leon Grill,Other,"3rd Sector, HSR",4.30,300,N
Cakewala,Dessert,"HSR, HSR",4.30,450,N
Cream Stone,Dessert,"5th Block, Koramangala",4.30,250,N
KFC,Fast Food,"Intermediate Ring Road, Koramangala",4.30,400,N
Sagar fast food, North Indian,"8TH BLOCK, Koramangala",4.30,200,N
Nagarjuna, South Indian,"KHB Colony, Koramangala",4.30,600,N
CRAVY WINGS - The Fast Food Diner,Fast Food,"Bannerghatta Road, Jayanagar",4.30,300,N
Leon Grill,Other,"5th Block, Koramangala",4.30,300,N
Truffles,Fast Food,"5th Block, Koramangala",4.30,450,N
Khawa Karpo,Chinese,"Koramangala, Koramangala",4.30,178,N
Purani Dilli By Anand Dessert,North Indian,"5th Block, Koramangala",4.30,400,N
XO Belgian Waffle,Dessert,"Koramangala, Koramangala",4.30,250,N
The Bowl Company,Chinese,"Jakkasandra Village, Koramangala",4.30,350,N
Thali 99,North Indian,"Koramangala, Koramangala",4.30,200,N
Kitchens of Punjab,North Indian,"Koramangala 4th  Block, Koramangala",4.20,350,N
A2B - Adyar Ananda Bhavan,South Indian,"7th Block, Koramangala",4.20,450,N
Falahaar & Kota Kachori,North Indian,"6th block, Koramangala",4.20,300,N
Bengali Fun Foods,North Indian,"BTM 2nd stage, BTM",4.20,300,N
Ghar Ka Khana,North Indian,"BTM, BTM",4.20,220,N
Tandoori Merchant, South Indian,"4th Cross, BTM",4.20,100,N
NIC Natural Ice Creams, Dessert,"Koramangla, Koramangala",4.20,120,N
Royal Treat,North Indian,"5th block Koramangala, Koramangala",4.20,193,N
Mani's Dum Biryani,South Indian,"1st Block, Koramangala",4.20,400,N
Sri Krishna sagar,South Indian,"6th Block, Koramangala",4.10,126,N
Beijing Bites,Chinese,"5th Block, Koramangala",4.10,450,N
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,Fast Food,"BTM 2nd Stage, BTM",4.10,200,N
Hotel Manu,South Indian,"HSR, HSR",4.10,350,N
Ambur Star Briyani, South Indian,"outer ring road, BTM",4.10,500,N
Shawarma Inc, Fast Food,"1st MAin, Koramangala",4.10,150,N
WarmOven Cake & Dessert,Dessert,"Koramangala, Koramangala",4.10,200,N
Shree Khana Khazana,North Indian,"Sector 4, HSR",4.10,350,N
Rolls On Wheels,Fast Food,"1st Block, Koramangala",4.10,300,N
Swad Punjab da, North Indian,"BTM, BTM",4.10,250,N
Rice Bowl, Chinese,"6th Block, Koramangala",4.10,250,N
High N Hungry,Other,"4th Cross, BTM",4.10,350,N
Biriyani Zone,North Indian,"HSR 1st sector, HSR",4.10,600,N
Bathinda Junction,North Indian,"5th Block, Koramangala",4.10,250,N
Swadista Aahar,South Indian,"16th Main Road, 2nd Stage, BTM",4.10,250,N
Svadu Pure Ghee Dessert,Dessert,"1st Stage, BTM",4.10,200,N
Balaji's Veg, South Indian,"Mico Layout, BTM",4.10,300,N
Pipabu,Italian,"4th Block, Koramangala",4.10,257,N
Sharmas punjabi restaurant,North Indian,"1st Block, Koramangala",4.10,200,N
calicut cafe restaurant,Fast Food,"BTM, BTM",4.10,280,N
Kitchens of China,Chinese,"Koramangala, Koramangala",4.10,350,N
99 VARIETY DOSA AND JUICE,South Indian,"Koramangala 1st block, Koramangala",4.10,100,N
BIRYANI CRAFTS,Indian,"BTM, BTM",4.10,500,N
Dindigul Thalapakatti Biriyani,North Indian,"HSR, HSR",4.10,650,N
Delhi Food Point,North Indian,"1st Block, Koramangala",4.10,132,N
Savoury Restaurant,Other,"Madiwala, BTM",4.10,600,N
Cake Box,Dessert,"Koramangala, Koramangala",4.00,247,N
Maa Di Hatti, North Indian,"Jakkasandra Extn, Koramangala",4.00,129,N
Hotel Godavari,South Indian,"Marutinagar Main Road, BTM",4.00,400,N
Nandhana Palace, South Indian,"Koramangala, Koramangala",4.00,500,N
Madurai Idly Shop,South Indian,"6th Block, Koramangala",4.00,150,N
Pizza Hut, Fast Food,"Hosur Main Road, Koramangala",4.00,600,N
Nanda's,South Indian,"HSR, HSR",4.00,400,N
World of asia, Chinese,"BTM, BTM",4.00,250,N
Punjabi Rasoi,North Indian,"Sector 3, HSR",4.00,800,N
Abhiruchi Hotel, South Indian,"BTM, BTM",4.00,250,N
Gyaani Da Punjabi Dhaba,North Indian,"2nd Stage, BTM",4.00,500,N
Just Shawarma,Fast Food,"5th block, Koramangala",4.00,250,N
New Tasty Cafeteria,Other,"Maruthi Nagar, BTM",4.00,350,N
Hotel Savitha Family Restaurant,North Indian,"4th block, Koramangala",4.00,153,N
La Pino'z Pizza,Italian,"BTM, BTM",3.90,500,N
Burger King,Fast Food,"7th Block, Koramangala",3.90,350,N
Easy Bites,Snacks,"koramangala, Koramangala",3.90,200,N
FreshMenu,Other,"1st Block, Koramangala",3.90,350,N
Cake Garden,Dessert,"HSR, HSR",3.90,250,N
Thalassery Restaurant,South Indian,"5th Block, Koramangala",3.90,300,N
KANNUR FOOD POINT,South Indian,"SG palaya, BTM",3.90,300,N
Fattoush,Arabian,"BTM, BTM",3.90,400,N
La Pino'z Pizza,Italian,"4th Block, Koramangala",3.90,251,N
Mad Over Donuts,Dessert,"7th Block, Koramangala",3.90,350,N
Kritunga,South Indian,"5th Block, Koramangala",3.90,500,N
Wok Paper Scissors, Chinese,"JNC Road, Koramangala",3.90,219,N
Yumlane Pizza,Italian,"9th Main road, Koramangala",3.80,150,N
Gongura's,North Indian,"Sector 7, HSR",3.80,300,N
Barista,Other,"80 Feet Peripheral Road, Koramangala",3.80,350,N
Easy Bites,Snacks,"9th Main Rd, Sector 6, HSR Layout, HSR",3.80,200,N
Sri Lakshmi Dhaba,North Indian,"Bommanahalli, BTM",3.70,200,N
Sai Abhiruchi,Chinese,"BTM, BTM",3.70,250,N
Onesta,Italian,"4th Cross, Koramangala",3.70,250,N
800 Momos,Chinese,"Koramangala, Koramangala",3.70,150,N
Punjabi Swag,North Indian,"16th Main Road, BTM",3.70,400,N
R.B Food Point,Chinese,"Jay Bheema Nagar, BTM",3.70,350,N
MTR,South Indian,,4.70,300,Y
Shri Sagar CTR,South Indian,,4.90,150,Y
Maiyas,South Indian,,4.20,500,Y
Vidyarthi Bhavan,South Indian,,4.50,100,Y
Venkateshwara Sweets,Snacks,,3.80,300,Y
Anand Sweets,Dessert,,4.40,300,Y
Brahmins Coffee Bar,South Indian,,4.60,200,Y
