 Resturant Name,Cuisine,Location,Rating,Cost_for_Two
Khichdi Experiment,Other,Koramangala,4.8,200
Natural Ice Cream,Dessert,Koramangala,4.6,150
Corner House Ice Cream, Dessert,Koramangala,4.6,250
Chinese Bae,Chinese,BTM,4.5,450
Mumbai Tiffin,North Indian,HSR,4.4,400
Al Daaz,Fast Food,HSR,4.4,400
China Pearl,Chinese,Koramangala,4.4,527
Bowl 99,South Indian,Koramangala,4.4,200
Kanti Dessert,Dessert,Koramangala,4.3,150
Meghana Foods,South Indian,Koramangala,4.3,550
Momoz,Chinese,Koramangala,4.3,450
Just Bake - Cakes & confectioners,Dessert,BTM,4.3,300
New Udupi Grand, South Indian,HSR,4.3,150
Oottupura, South Indian,BTM,4.3,268
Taco Bell,Other,Koramangala,4.3,600
Leon Grill,Other,HSR,4.3,300
Cakewala,Dessert,HSR,4.3,450
Cream Stone,Dessert,Koramangala,4.3,250
KFC,Fast Food,Koramangala,4.3,400
Sagar fast food, North Indian,Koramangala,4.3,200
Nagarjuna, South Indian,Koramangala,4.3,600
CRAVY WINGS - The Fast Food Diner,Fast Food,Jayanagar,4.3,300
Leon Grill,Other,Koramangala,4.3,300
Truffles,Fast Food,Koramangala,4.3,450
Khawa Karpo,Chinese,Koramangala,4.3,178
Purani Dilli By Anand Dessert,North Indian,Koramangala,4.3,400
XO Belgian Waffle,Dessert,Koramangala,4.3,250
The Bowl Company,Chinese,Koramangala,4.3,350
Thali 99,North Indian,Koramangala,4.3,200
Kitchens of Punjab,North Indian,Koramangala,4.2,350
A2B - Adyar Ananda Bhavan,South Indian,Koramangala,4.2,450
Falahaar & Kota Kachori,North Indian,Koramangala,4.2,300
Bengali Fun Foods,North Indian,BTM,4.2,300
Ghar Ka Khana,North Indian,BTM,4.2,220
Tandoori Merchant, South Indian,BTM,4.2,100
NIC Natural Ice Creams, Dessert,Koramangala,4.2,120
Royal Treat,North Indian,Koramangala,4.2,193
Mani's Dum Biryani,South Indian,Koramangala,4.2,400
Sri Krishna sagar,South Indian,Koramangala,4.1,126
Beijing Bites,Chinese,Koramangala,4.1,450
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,Fast Food,BTM,4.1,200
Hotel Manu,South Indian,HSR,4.1,350
Ambur Star Briyani, South Indian,BTM,4.1,500
Shawarma Inc, Fast Food,Koramangala,4.1,150
WarmOven Cake & Dessert,Dessert,Koramangala,4.1,200
Shree Khana Khazana,North Indian,HSR,4.1,350
Rolls On Wheels,Fast Food,Koramangala,4.1,300
Swad Punjab da, North Indian,BTM,4.1,250
Rice Bowl, Chinese,Koramangala,4.1,250
High N Hungry,Other,BTM,4.1,350
Biriyani Zone,North Indian,HSR,4.1,600
Bathinda Junction,North Indian,Koramangala,4.1,250
Swadista Aahar,South Indian,BTM,4.1,250
Svadu Pure Ghee Dessert,Dessert,BTM,4.1,200
Balaji's Veg, South Indian,BTM,4.1,300
Pipabu,Italian,Koramangala,4.1,257
Sharmas punjabi restaurant,North Indian,Koramangala,4.1,200
calicut cafe restaurant,Fast Food,BTM,4.1,280
Kitchens of China,Chinese,Koramangala,4.1,350
99 VARIETY DOSA AND JUICE,South Indian,Koramangala,4.1,100
BIRYANI CRAFTS,Indian,BTM,4.1,500
Dindigul Thalapakatti Biriyani,North Indian,HSR,4.1,650
Delhi Food Point,North Indian,Koramangala,4.1,132
Savoury Restaurant,Other,BTM,4.1,600
Cake Box,Dessert,Koramangala,4,247
Maa Di Hatti, North Indian,Koramangala,4,129
Hotel Godavari,South Indian,BTM,4,400
Nandhana Palace, South Indian,Koramangala,4,500
Madurai Idly Shop,South Indian,Koramangala,4,150
Pizza Hut, Fast Food,Koramangala,4,600
Nanda's,South Indian,HSR,4,400
World of asia, Chinese,BTM,4,250
Punjabi Rasoi,North Indian,HSR,4,800
Abhiruchi Hotel, South Indian,BTM,4,250
Gyaani Da Punjabi Dhaba,North Indian,BTM,4,500
Just Shawarma,Fast Food,Koramangala,4,250
New Tasty Cafeteria,Other,BTM,4,350
Hotel Savitha Family Restaurant,North Indian,Koramangala,4,153
La Pino'z Pizza,Italian,BTM,3.9,500
Burger King,Fast Food,Koramangala,3.9,350
Easy Bites,Snacks,Koramangala,3.9,200
FreshMenu,Other,Koramangala,3.9,350
Cake Garden,Dessert,HSR,3.9,250
Thalassery Restaurant,South Indian,Koramangala,3.9,300
KANNUR FOOD POINT,South Indian,BTM,3.9,300
Fattoush,Arabian,BTM,3.9,400
La Pino'z Pizza,Italian,Koramangala,3.9,251
Mad Over Donuts,Dessert,Koramangala,3.9,350
Kritunga,South Indian,Koramangala,3.9,500
Wok Paper Scissors, Chinese,Koramangala,3.9,219
Yumlane Pizza,Italian,Koramangala,3.8,150
Gongura's,North Indian,HSR,3.8,300
Barista,Other,Koramangala,3.8,350
Easy Bites,Snacks,HSR,3.8,200
Sri Lakshmi Dhaba,North Indian,BTM,3.7,200
Sai Abhiruchi,Chinese,BTM,3.7,250
Onesta,Italian,Koramangala,3.7,250
800 Momos,Chinese,Koramangala,3.7,150
Punjabi Swag,North Indian,BTM,3.7,400
R.B Food Point,Chinese,BTM,3.7,350
MTR,South Indian,JP Nagar,4.7,300
Shri Sagar CTR,South Indian,Malleswaram,4.9,150
Maiyas,South Indian,Jayanagar,4.2,500
Vidyarthi Bhavan,South Indian,Gandhi Bazaar,4.5,100
Venkateshwara Sweets,Snacks,JP Nagar,3.8,300
Anand Sweets,Dessert,Frazer Town,4.4,300
Brahmins Coffee Bar,South Indian,Shankarapura,4.6,200
