Type,latitude,longitude,Resturantatings
CustomeResturant,12.9766,77.5993,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9551,77.6593,2
CustomeResturant,12.9473,77.5616,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.9299,77.6848,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9828,77.6131,2
CustomeResturant,12.9766,77.5993,2
CustomeResturant,12.9854,77.7081,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.8988,77.5764,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9438,77.5738,2
CustomeResturant,12.8893,77.6399,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.982,77.6256,2
CustomeResturant,12.8988,77.5764,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,13.0298,77.6047,2
CustomeResturant,12.9983,77.6409,2
CustomeResturant,12.9925,77.5633,2
CustomeResturant,12.9306,77.5434,2
CustomeResturant,12.982,77.6256,2
CustomeResturant,12.9353,77.5585,2
CustomeResturant,12.9155,77.5135,2
CustomeResturant,12.9854,77.7081,2
CustomeResturant,13.0019,77.5713,2
CustomeResturant,12.9698,77.75,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.9119,77.6446,2
CustomeResturant,12.9306,77.5434,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.982,77.6256,2
CustomeResturant,12.9438,77.5738,2
CustomeResturant,12.8988,77.5764,2
CustomeResturant,12.9662,77.6068,2
CustomeResturant,12.9565,77.5484,2
CustomeResturant,12.9925,77.5633,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.982,77.6256,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,13.0206,77.6479,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9635,77.5821,2
CustomeResturant,12.9306,77.5434,2
CustomeResturant,13.0067,77.545,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9119,77.6446,2
CustomeResturant,13.0067,77.545,2
CustomeResturant,12.8988,77.5764,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,13.0158,77.539,2
CustomeResturant,12.9343,77.6044,2
CustomeResturant,13.0019,77.5713,2
CustomeResturant,13.0012,77.5995,2
CustomeResturant,12.9442,77.6076,2
CustomeResturant,13.0487,77.5923,2
CustomeResturant,13.0487,77.5923,2
CustomeResturant,12.9438,77.5738,2
CustomeResturant,12.9889,77.5741,2
CustomeResturant,12.9335,77.5691,2
CustomeResturant,12.9766,77.5993,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,13.0019,77.5713,2
CustomeResturant,13.102,77.5864,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9337,77.59,2
CustomeResturant,12.9037,77.5376,2
CustomeResturant,12.977,77.5773,2
